證券代碼,簡稱,年月,year,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
5876,上海商銀,201512,2015,128451756.88399999,32.12,,,,2.7278925616464065,0.19346767229611783,,,7.845434543702549e-08,,,,,,,-15.224159402241586,-1
5880,合庫金,201512,2015,110625323.9442186,9.99124240875244,12.85,0.83,12.232868002208335,,0.005716524058605161,,2.0449978027898266,,,,,,,,5.86572312693354,-1
6139,亞翔,201512,2015,3313221.1200000006,17.6,12.4,0.49,0.5399534168475084,-87532203.38983051,-0.11200425635259367,0.9278984583753522,-0.42081939673970087,203.42372881355934,,,,,,,47.4431818181818,1
6239,力成,201512,2015,56721872.48,72.8,14.08,1.56,4.690440910871416,0.6908087025118897,0.3259375533627106,0.23840082414081643,1.9325599377958251,1.226397827493445e-07,,,,,,,17.032967032967044,1
6415,矽力*-KY,201512,2015,0.58353,397.5,25.88,6.37,4.3086249289316487e-07,0.0,0.0,0.839898695295829,0.0,6158693641.618498,,,,,,,20.50314465408805,1
6446,藥華藥,201512,2015,3.2364391400000008,176.99,,,0.0005211657230273754,0.0,0.0,89.72624798711756,0.0,50.897842160857095,,,,,,,-0.8418554720605734,-1
6488,環球晶,201512,2015,0.124,80.0,13.47,1.74,3.523975681157501e-08,1254813443.4634006,3.6997769544200985,0.7225286912721638,25.040973322083136,42.409569923098836,,,,,,,16.999999999999993,1
6505,台塑化,201512,2015,720162538.784539,75.5999984741211,34.41,3.02,4.791618962513286,9.749182555415686e-06,6.110925414712195e-06,0.6212934588330848,1.7299163218849177e-05,1.3990076967021508e-08,,,,,,,44.841272764685755,1
8046,南電,201512,2015,,32.75,,,,,,,,,,,,,,,-25.954198473282442,-1
8210,勤誠,201512,2015,,39.20000076293945,,,,,,,,,,,,,,,32.908156786000816,1
9904,寶成,201512,2015,,44.09999847412109,,,,,,,,,,,,,,,-9.070295098416599,-1
9910,豐泰,201512,2015,,109.91612243652344,,,,,,,,,,,,,,,-23.999998334134567,-1
9914,美利達,201512,2015,,183.0,,,,,,,,,,,,,,,-25.683060109289617,-1
9921,巨大,201512,2015,,226.2356109619141,,,,,,,,,,,,,,,-16.66666554255916,-1
1101,台泥,201612,2016,136979725.89,37.1,20.56,1.23,5.1596988327711815,0.32421780322189186,0.12385578402600228,-4.726633350419361,1.3019696242369672,4.290901725248647e-08,,,,,-6.749344354118614,-151.57786512192865,-9.164420485175198,-1
1102,亞泥,201612,2016,93952449.24,27.95,31.75,0.73,5.578492342939549,0.18837297152332527,0.0953562246470955,5.685430990682944,1.439819136870902,3.4213098327161296e-08,,,,,-10.282324560101031,-204.93217075228802,-3.756708407871201,-1
1216,統一,201612,2016,309669839.3,54.5,20.54,3.23,3.2798394107517126,1.3881737186557366,0.3398852187153789,1.6021039364670617,1.3985953400201336,6.381389351447037e-08,,,,,-0.7094936330383383,-384.0426332827843,17.981651376146786,-1
1301,台塑,201612,2016,579918986.88,91.1,17.12,1.99,11.49558780086694,3.0241216193977754,2.0515042963781824,15.684998935419332,17.18456205196997,1.126283659940321e-08,,,,,-8.36365446291124,82.1028543292614,1.866081229418225,-1
1303,南亞,201612,2016,543261279.6,68.5,20.64,1.8,7.474659395821207,-0.05200542148956635,-0.032499725563200355,33.728395793496254,-0.2280284455207914,1.1380456895543722e-08,,,,,-11.205340858751311,10.523367477592839,9.48905109489051,-1
1304,台聚,201612,2016,18510158.88,16.2,13.32,0.94,1.2880506720769433,1.7829522676773315,0.5190714709617101,-0.21588406836254603,2.1359677164804216,2.776471629061552e-07,,,,,-0.4716234478763348,356.51035857166227,-4.62962962962963,-1
1305,華夏,201612,2016,12968726.925,27.15,10.06,1.67,3.701338299283577,1.389008561911132,0.39079129340239827,0.4792519194907007,1.3571288723024242,5.839263394011234e-07,,,,,1.4171806413990407,136.7370307676989,4.235727440147338,-1
1308,亞聚,201612,2016,0.06748030000000001,19.1,16.71,1.06,3.6071216280939436e-08,364103590.97583765,2.2422440756869793,2.986232274507792,14.579698431432922,22362703424.442352,,,,,8.251964277727254,69.5774087452826,-1.570680628272255,-1
