證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label,year
2326,亞瑟,199712,23442,678.18,0.709364830858073,21.1337,14.7174,0.074769,0.12753,0.090094,0.088825,0.70563,174.91,110.14,4.37,3.77,155.66,661.24,-78.9835,-1,1997
2327,國巨,199712,49733,25.66,0.392227019534168,0.93479,2.2391,0.065597,0.10822,0.105,0.25916,0.64976,161.3,141.55,5.72,5.87,61.89,123.61,-21.0055,-1,1997
2328,廣宇,199712,16148,49.28,0.91719366382981,2.9831,1.1639,0.06941,0.20006,0.083368,0.078075,1.8824,128.06,61.43,3.46,5.93,412.79,1053.73,-74.5739,-1,1997
2329,華泰,199712,22031,80.9,0.340385726666133,4.3612,3.8269,0.085312,0.12182,0.095196,0.10689,0.42789,136.15,97.62,9.63,4.72,22.28,28.08,-16.4648,1,1997
2330,台積電,199712,457105,15.24,0.814723686393179,0.89594,1.4164,0.14414,0.22379,0.33985,0.40887,0.55256,223.86,177.18,5.99,6.34,-18.13,-8.0,-6.3648,1,1997
2332,友訊,199712,11332,14.87,0.0781755287531837,0.78304,0.44138,0.084024,0.15007,0.061529,0.084569,0.78601,226.93,132.01,2.93,4.56,-7.1,38.07,51.1769,1,1997
2333,碧悠,199712,9402,36.68,0.0496544303257421,2.5279,4.28,0.032549,0.049895,0.013846,0.084495,0.53294,266.44,144.95,2.61,5.89,8221.72,59.16,37.9771,1,1997
2334,國豐,199712,17693,34.89,0.929263623187228,2.056,1.8658,0.15541,0.21885,-0.0018053,0.19864,0.40822,138.19,56.78,3.82,8.48,-141.78,626.29,-28.3462,-1,1997
2336,D 致伸,199712,11636,24.95,0.538342435260057,1.1853,0.52328,0.066714,0.16697,0.039709,0.074155,1.5027,171.37,104.53,4.47,4.62,-40.29,8.3,-36.2725,-1,1997
2337,旺宏,199712,64833,25.89,0.141886338627215,1.4025,3.4986,0.044691,0.072898,0.14551,0.18196,0.63117,209.38,143.97,2.13,5.48,-52.91,-42.24,-29.5095,-1,1997
2338,光罩,199712,21638,33.21,0.223811939491137,1.498,2.7884,0.15268,0.21297,0.34751,0.39622,0.39484,298.01,249.35,11.2,3.71,47.69,49.87,-51.6712,-1,1997
2339,合泰,199712,31054,33.4,0.438744359656398,1.3773,4.9629,0.049265,0.071173,0.17022,0.25642,0.44469,519.03,465.06,2.83,5.29,28.11,93.49,-37.4551,-1,1997
2340,光磊,199712,12400,47.91,0.654079098476782,2.5336,2.3497,0.12313,0.1681,0.15935,0.15586,0.3652,289.88,173.97,2.37,3.38,193.81,199.27,-12.774,1,1997
2342,茂矽,199712,80801,172.42,0.970592781760616,10.4244,33.6758,0.018282,0.041933,-0.06176,0.16512,1.2936,74.89,47.87,2.5,5.66,-120.61,-55.91,-10.892,1,1997
2343,精業,199712,7520,9.99,0.547008892286345,0.50025,0.35704,0.073483,0.13335,0.081865,0.095153,0.81471,346.56,240.89,4.13,5.36,89.47,107.73,120.02,1,1997
2344,華邦電,199712,74714,21.86,0.485375648722841,1.1823,3.2971,0.061667,0.10898,0.0015973,0.30417,0.76717,217.13,175.94,3.07,8.31,-98.9,48.32,11.5279,1,1997
2345,智邦,199712,9505,18.75,0.239952525664903,0.60542,0.40314,0.038745,0.072244,-0.0004423,0.048106,0.8646,172.32,114.54,3.78,5.54,-101.04,-8.9,-9.4933,1,1997
2347,聯強,199712,22950,14.19,0.679702676853675,0.44371,0.070314,0.064774,0.14174,0.030249,0.022462,1.1883,155.43,89.39,11.07,10.6,51.0,57.74,46.0888,1,1997
2348,力廣,199712,23068,336.45,0.276025076998578,13.7439,5.2034,0.042983,0.10579,0.031882,0.041928,1.4612,139.61,79.44,4.94,4.78,-31.22,27.49,-58.93,-1,1997
2349,錸德,199712,22860,16.5,0.655098003973841,0.36472,1.0274,0.072556,0.10605,0.22973,0.29868,0.46161,151.32,102.38,7.01,3.14,280.42,437.69,48.4848,1,1997
2350,環電,199712,21624,26.15,0.751267059305653,1.5046,0.57409,0.10238,0.20787,0.079547,0.07932,1.0304,145.11,106.73,6.29,7.36,14.51,63.3,-4.7036,1,1997
2352,佳世達,199712,31646,20.01,0.0344460805029088,0.79563,0.36257,0.072436,0.1241,0.053276,0.060051,0.71328,206.99,133.05,6.44,5.82,14.82,41.62,-8.9455,1,1997
2353,宏碁,199712,7410,12.04,0.18351115573727,0.6219,0.075785,0.053847,0.14001,0.022388,0.019004,1.6002,139.12,97.3,10.92,6.85,27.45,20.07,15.1993,1,1997
2355,敬鵬,199712,8090,15.32,0.234779913372406,0.56386,0.56324,0.099659,0.1366,0.10747,0.13644,0.37071,303.74,272.01,11.01,4.5,15.94,62.44,3.3943,1,1997
2356,英業達,199712,75266,16.59,0.957166948242946,0.8221,0.18599,0.201,0.34924,0.071353,0.084515,0.7375,193.15,139.8,11.32,8.59,-21.01,14.08,42.6763,1,1997
2357,華碩,199712,166991,158.47,0.63235924622541,2.5962,2.3949,0.30088,0.35697,0.26949,0.32933,0.18643,556.46,476.72,7.6,23.93,52.07,84.82,46.2737,1,1997
2358,美格,199712,8204,441.86,0.0597795429471558,29.5756,9.1863,0.024487,0.057492,0.017079,0.017848,1.3479,155.41,76.89,4.23,4.66,-38.85,-2.25,-17.4422,1,1997
2359,所羅門,199712,9520,37.19,0.123318934835166,1.6247,0.57383,0.015656,0.033301,0.0010554,0.011765,1.1271,129.16,80.73,8.58,7.42,-95.87,-47.04,-36.7034,-1,1997
2361,鴻友,199712,10231,166.59,0.136068558708664,8.2064,4.3667,0.072313,0.14892,0.049606,0.079243,1.0593,211.95,111.07,2.68,5.35,-41.56,-3.04,-48.8145,-1,1997
2362,藍天,199712,22125,31.11,0.959743958516081,1.3645,0.57665,0.14099,0.17438,0.07587,0.073693,0.23678,356.51,250.16,7.44,13.87,-50.73,-34.14,-49.116,-1,1997
2363,矽統,199712,11320,21.28,0.442678269775446,1.701,2.1216,0.059912,0.077473,-0.025922,0.0966,0.29313,262.71,200.3,5.18,5.24,-116.07,-52.58,90.8365,1,1997
2364,倫飛,199712,16491,63.24,0.830828627896291,3.2232,0.84073,0.0676,0.12328,0.04789,0.032146,0.82364,189.95,123.07,8.06,12.96,64.81,47.59,-11.7489,1,1997
2371,大同,199712,103194,23.2,0.546881519204984,1.5055,0.91736,0.031894,0.075048,-0.0035061,0.057134,1.353,134.41,92.14,3.98,4.74,-102.77,-48.05,1.5517,1,1997
2373,震旦行,199712,22329,43.79,0.498364051982143,3.4399,1.3621,0.1027,0.21528,0.047699,0.095711,1.0961,105.84,56.88,5.0,8.38,69.77,586.8,-16.1681,1,1997
2379,瑞昱,199712,9020,17.5,0.337719409821377,0.99545,0.65153,0.26941,0.35267,0.18535,0.23079,0.30909,302.66,199.45,4.27,5.29,47.02,97.18,-2.4571,1,1997
