證券代碼,year,市值(百萬元),股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,稅後淨利成長率
1513,2021,0.0627585,1.2159676881220211e-08,25875901.875901878,0.052333367014985616,-1.6439594063238805,0.1737193574050056,23.729323308270676,-10.608175473579262
1513,2022,0.06949960000000001,1.4481910322910954e-08,4862807.295796987,0.008947920101937647,1.7090002777625548,0.031943735683403196,28.52348993288591,-82.90207450368057
1513,2023,0.136406,2.3330609268138666e-08,-18816229.11694511,-5913000.0,-0.08575845261238307,-0.10113476870702456,32.79878971255673,-485.7142857142858
1513,2024,0.1608075,2.3135772451299167e-08,-72534.52364346491,-26000.0,-1.7044283946709637,-0.0003740684257474175,0.0,-99.56029088449179
1513,2025,,,24156604.463959016,9903000.0,0.46536146676462964,0.13935935786900502,45.23644752018454,-38188.46153846154
1519,2015,4229147.7,2.041161437730582,-0.010211780271665069,-0.0041173990671405855,-0.762573289084777,-0.015541050575018872,1.8901307583578823e-06,
1519,2016,4646841.3,3.418335838138808,-0.03163057975892201,-0.01356789891260308,-2.5685106595840628,-0.07466600754604832,1.6611433064624078e-06,215.2173913043478
1519,2017,5338646.325,2.5409311804190176,-0.020264435243793195,-0.018147917881399744,-1.718895090523398,-0.03084158988395852,1.7717391790398813e-06,-36.1576354679803
1519,2018,5090640.75,2.814357470183452,-0.12216047872968591,-0.11091485847640513,2.0798192846018737,-0.20930876691926353,0.0,484.25925925925924
1519,2019,7257426.3,2.373148892366672,0.0,0.0,-0.14436870491952303,0.0,3.2436543791553775e-07,-100.0
1519,2020,0.16096080000000001,6.177172207775462e-08,0.0,0.0,2.7813255064979723,0.0,18.08380298946337,
1519,2021,0.0931374,3.041188454132576e-08,-6065638.592328984,-2301000.0,0.8039750102284612,-0.07513388427161438,21.848260125499145,
1519,2022,0.0935066,3.5080467411420566e-08,-7519613.759806879,-2492000.0,17.15572639767037,-0.09349128809010279,34.913516976297245,8.300738809213382
1519,2023,0.593085,1.0568140571406781e-07,-15949017.1990172,-5193000.0,0.8590150158347928,-0.09253370762591435,47.87610619469027,108.38683788121992
