stock_id,year,total_assets_million,total_equity_million,total_liabilities_million,share_capital_million
2347,2022,218920950.0,0.03144,218920950.0,0.00762
2347,2023,0.1,0.031239999999999997,0.06744,0.008119999999999999
2347,2024,0.1,0.03427,0.06443,0.00741
2347,2025,0.1,0.03688,0.1,0.00767
2356,2015,175746473.0,56480704.0,0.06420999999999999,35874751.0
2356,2016,173214294.0,53309601.0,0.06583,35874751.0
2356,2017,0.1,51627833.0,0.0,35874751.0
2356,2018,205803922.0,55364481.0,0.00326,35874751.0
2356,2019,193092853.0,55271148.0,0.0033399999999999997,35874751.0
2356,2020,0.1,0.02708,0.00366,0.01675
2356,2021,0.1,0.02305,0.0030499999999999998,0.01449
2356,2022,0.1,0.02194,0.00297,0.01334
2356,2023,0.1,0.02456,0.00594,0.01543
2356,2024,0.1,0.02123,0.00524,0.01068
2356,2025,0.1,0.022969999999999997,0.00575,0.01082
2357,2015,333604873.0,167351939.0,0.049210000000000004,7427603.0
2357,2016,337955204.0,176970344.0,0.04697,7427603.0
2357,2017,0.1,173835357.0,0.0,7427603.0
2357,2018,342165876.0,161365001.0,2e-05,7427603.0
2357,2019,352004111.0,176860040.0,0.00028000000000000003,7427603.0
2357,2020,0.1,0.05088,0.00028000000000000003,0.0018700000000000001
2357,2021,0.1,0.046079999999999996,0.00061,0.00147
2357,2022,0.1,0.04329,0.00068,0.00149
2357,2023,0.1,0.04617,0.0005200000000000001,0.00156
2357,2024,0.1,0.04843,0.00041999999999999996,0.00133
2357,2025,0.1,0.04248,0.00087,0.0011799999999999998
2360,2015,16060439.0,9410104.0,0.04065,3791699.0
2360,2016,18016658.0,10075654.0,0.04311,3908245.0
2360,2017,0.1,11161992.0,0.0,4083528.0
2360,2018,23202464.0,14410020.0,0.00383,4167794.0
2360,2019,25437072.0,14488761.0,0.00278,4206685.0
2360,2020,0.1,0.05711,0.011789999999999998,0.01498
2360,2021,0.1,0.06266,0.0025299999999999997,0.01428
2360,2022,34364257.0,20618403.0,0.00454,0.01238
2360,2023,0.1,0.05973,0.00434,0.01275
2360,2024,0.1,0.06668,0.00209,0.0114
2360,2025,0.1,0.06765,0.0024,0.00902
2368,2015,22187354.0,7203147.0,0.06753,5649129.0
2368,2016,21563988.0,7023625.0,0.06743,5522469.0
2368,2017,0.1,0.0334,0.06659999999999999,5522469.0
2368,2018,21195548.0,7052483.0,0.06673,5464879.0
2368,2019,20908384.0,0.03427,0.06573000000000001,5464879.0
2368,2020,0.1,0.0428,0.01469,0.02524
2368,2021,0.1,0.04564,0.05436,0.02188
2368,2022,0.1,0.04389,0.05611,0.01607
2368,2023,0.1,0.05003,0.04997,0.01796
2368,2024,0.1,0.047799999999999995,0.00425,0.01103
2368,2025,0.1,0.0442,0.1,0.00674
2376,2015,33240633.0,22538968.0,0.03215,6290629.0
2376,2016,35139219.0,22446112.0,0.03607,6290679.0
2376,2017,0.1,21888417.0,0.0,6297199.0
2376,2018,35734595.0,24083475.0,0.00094,6356889.0
2376,2019,0.1,0.06443,0.00066,0.01686
2376,2020,0.1,0.055420000000000004,0.00807,0.01286
2376,2021,0.1,0.054189999999999995,0.00173,0.00919
2376,2022,0.1,0.06207,0.0023599999999999997,0.0114
2376,2023,0.1,0.054299999999999994,0.0074800000000000005,0.01018
2376,2024,0.1,0.048240000000000005,0.004070000000000001,0.006019999999999999
2376,2025,0.1,0.03785,0.0025299999999999997,0.00429
2377,2015,46530869.0,25742017.0,0.04468,8448562.0
2377,2016,49235760.0,25932778.0,0.04733,8448562.0
2377,2017,0.1,24862528.0,0.04554,8448562.0
2377,2018,55174173.0,29945861.0,0.04572,8448562.0
2377,2019,60348708.0,31012465.0,0.04861,8448562.0
2377,2020,0.1,0.045329999999999995,0.05467,0.01078
2377,2021,101459590.0,0.0464,101459590.0,0.00833
2377,2022,79009333.0,0.06067,79009333.0,0.01069
2377,2023,0.1,0.050159999999999996,0.00064,0.00901
2377,2024,0.1,0.05472,0.00020999999999999998,0.00874
2377,2025,0.1,0.04514,0.0010400000000000001,0.00698
2379,2015,46947448.0,22280256.0,0.052520000000000004,5049513.0
2379,2016,52361231.0,21511017.0,0.0589,5049513.0
2379,2017,0.1,20286986.0,0.0,5049513.0
2379,2018,58252314.0,24637292.0,0.00026000000000000003,5080955.0
2379,2019,73431830.0,27218985.0,0.00014000000000000001,5080955.0
2379,2020,0.1,0.03772,0.00043,0.00654
2379,2021,0.1,0.03847,0.00020999999999999998,0.00504
2379,2022,0.1,0.03468,0.00013000000000000002,0.00381
2379,2023,0.1,0.03368,0.00027,0.00456
2379,2024,0.1,0.046490000000000004,0.00035999999999999997,0.0045
2379,2025,0.1,0.04019,0.00053,0.0039700000000000004
2382,2015,531574219.0,132742309.0,0.07365000000000001,38626274.0
2382,2016,577768699.0,128082235.0,0.07665999999999999,38626274.0
2382,2017,0.1,125772115.0,0.0,38626274.0
2382,2018,659467182.0,134896686.0,0.00111,38626274.0
2382,2019,614626933.0,135641811.0,0.004059999999999999,38626274.0
2382,2020,0.1,0.02175,0.008119999999999999,0.0058200000000000005
2382,2021,0.1,0.02246,0.00775,0.00538
2382,2022,0.1,0.0201,0.01196,0.00474
2382,2023,0.1,0.02472,0.012039999999999999,0.00578
2382,2024,0.1,0.02384,0.009609999999999999,0.00414
2382,2025,0.1,0.01814,0.007980000000000001,0.0028799999999999997
2383,2015,17707829.0,9680618.0,8.999999999999999e-05,3175051.0
2383,2016,18289399.0,9856709.0,0.046049999999999994,3188811.0
2383,2017,0.1,10342389.0,0.05097,3190661.0
2383,2018,21962463.0,11900197.0,0.04575,3196524.0
2383,2019,25704331.0,13519931.0,0.04734,0.01244
