stock_id,year,revenue_million,operating_income_million,net_income_million
2357,2015,132722972.0,263980.0,112642.0
2357,2016,126398576.0,595736.0,136228.0
2357,2017,113956052.0,1459789.0,152764.0
2357,2018,62074915.0,2246874.0,180635.0
2357,2019,97288885.0,1988107.0,233305.0
2357,2020,122325373.0,2673084.0,581763.0
2357,2021,151904185.0,1876581.0,844244.0
2357,2022,127076385.0,891884.0,178273.0
2357,2023,120161262.0,2730217.0,841975.0
2357,2024,153922801.0,1786556.0,1536110.0
2357,2025,202923942.0,3639509.0,1808895.0
2360,2015,2561058.0,11247.0,-16745.0
2360,2016,2775034.0,54632.0,3113.0
2360,2017,5214759.0,27401.0,660.0
2360,2018,3924172.0,60072.0,4533.0
2360,2019,4477808.0,111368.0,15372.0
2360,2020,4177935.0,128868.0,22189.0
2360,2021,4589615.0,162700.0,56506.0
2360,2022,6072800.0,64930.0,48238.0
2360,2023,5024512.0,-15977.0,11573.0
2360,2024,6039133.0,379597.0,64232.0
2360,2025,8580370.0,420024.0,113885.0
2368,2015,4658144.0,-137367.0,683111.0
2368,2016,5122366.0,-111653.0,774966.0
2368,2017,4912262.0,-18423.0,520555.0
2368,2018,5062176.0,-153242.0,763845.0
2368,2019,5659137.0,-219415.0,1136904.0
2368,2020,5612335.0,-132570.0,1203065.0
2368,2021,7386773.0,-22828.0,1791423.0
2368,2022,8480242.0,-157753.0,2203786.0
2368,2023,8537863.0,-51933.0,2371251.0
2368,2024,9855846.0,360981.0,2556592.0
2368,2025,16408204.0,295259.0,5523800.0
2376,2015,12221772.0,552766.0,2268.0
2376,2016,12354901.0,472977.0,-9414.0
2376,2017,15534392.0,317341.0,-39431.0
2376,2018,12946792.0,153006.0,-25642.0
2376,2019,15772072.0,142201.0,10958.0
2376,2020,23457829.0,350275.0,-16279.0
2376,2021,30456560.0,486864.0,-908.0
2376,2022,27799638.0,484053.0,-1950.0
2376,2023,45596208.0,117725.0,38922.0
2376,2024,65615165.0,1358227.0,202921.0
2376,2025,89349640.0,244675.0,284943.0
2377,2015,24085749.0,13538.0,0.0
2377,2016,26543713.0,100260.0,3926066.0
2377,2017,29522396.0,93017.0,4074213.0
2377,2018,29751579.0,85745.0,3113546.0
2377,2019,32045265.0,119009.0,4042090.0
2377,2020,41905844.0,198587.0,5944823.0
2377,2021,55276215.0,78450.0,9764300.0
2377,2022,40790349.0,146174.0,3306220.0
2377,2023,49154981.0,-570325.0,5291728.0
2377,2024,51486818.0,72184.0,5304063.0
2377,2025,57608253.0,346424.0,6402218.0
2379,2015,9240226.0,96334.0,5.0
2379,2016,9800679.0,308494.0,4.0
2379,2017,10801604.0,241962.0,3.0
2379,2018,11941591.0,273131.0,9.0
2379,2019,16684699.0,-31529.0,25.0
2379,2020,22084497.0,139278.0,16.0
2379,2021,27369607.0,136474.0,9.0
2379,2022,21762118.0,483873.0,44.0
2379,2023,22585125.0,1128406.0,-1.0
2379,2024,26344622.0,762358.0,19.0
2379,2025,26278474.0,651361.0,18.0
2382,2015,275157692.0,580547.0,-163654.0
2382,2016,265245242.0,553425.0,76207.0
2382,2017,281718501.0,771604.0,63521.0
2382,2018,316684186.0,496476.0,158976.0
2382,2019,297398484.0,-752997.0,-42382.0
2382,2020,303030468.0,1494413.0,115235.0
2382,2021,338633625.0,2220881.0,279333.0
2382,2022,326105478.0,2316833.0,94320.0
2382,2023,287896101.0,872423.0,179438.0
2382,2024,417312909.0,2598339.0,263296.0
2382,2025,638637424.0,3459318.0,294148.0
2383,2015,5025558.0,56655.0,328.0
2383,2016,5877547.0,25967.0,836.0
2383,2017,5720920.0,2718.0,860.0
2383,2018,5403610.0,49648.0,801.0
2383,2019,6780363.0,21210.0,1134.0
2383,2020,7517307.0,84433.0,1706.0
2383,2021,10161964.0,-18337.0,1979.0
2383,2022,8888035.0,26652.0,0.0
2383,2023,12882143.0,76946.0,0.0
2383,2024,18562104.0,-154989.0,-4850.0
2383,2025,24927178.0,-314447.0,-1612.0
2395,2015,9751216.0,44942.0,8485.0
2395,2016,10804954.0,59116.0,6906.0
2395,2017,11759609.0,120627.0,-834.0
2395,2018,12366224.0,76447.0,4506.0
2395,2019,13485776.0,-297145.0,-8613.0
